2 100
cca vvvvvvvvvvvvvvvvvvbcb
vvvvvvvvvvvvvvvvvvaba bbb
cbccb vvvvvvvvvvvvvvvvvvcaccc
vvvvvvvvvvvvvvvvvvbbab abaa
vvvvvvvvvvvvvvvvvvab bc
aa vvvvvvvvvvvvvvvvvvac
ab vvvvvvvvvvvvvvvvvvcc
cccbbbba vvvvvvvvvvvvvvvvvvccabbbca
vvvvvvvvvvvvvvvvvvcb cb
vvvvvvvvvvvvvvvvvvcaa cab
aaacac vvvvvvvvvvvvvvvvvvcbbcbb
vvvvvvvvvvvvvvvvvvcac caa
aa vvvvvvvvvvvvvvvvvvcb
bc vvvvvvvvvvvvvvvvvvbc
bcbbaac vvvvvvvvvvvvvvvvvvcccbabc
vvvvvvvvvvvvvvvvvvccaabbaa abbcbbca
bbaac vvvvvvvvvvvvvvvvvvababa
accacba vvvvvvvvvvvvvvvvvvaacacbb
abcbab vvvvvvvvvvvvvvvvvvbcbcba
vvvvvvvvvvvvvvvvvvbacc aaba
vvvvvvvvvvvvvvvvvvcaccc aaaba
bcc vvvvvvvvvvvvvvvvvvcca
vvvvvvvvvvvvvvvvvvcb ca
ccabaca vvvvvvvvvvvvvvvvvvbcccbba
vvvvvvvvvvvvvvvvvvbb bb
vvvvvvvvvvvvvvvvvvacbc acac
bccb vvvvvvvvvvvvvvvvvvabab
cbbcb vvvvvvvvvvvvvvvvvvababc
bca vvvvvvvvvvvvvvvvvvcac
accbb vvvvvvvvvvvvvvvvvvcaaba
cbccacbb vvvvvvvvvvvvvvvvvvbbcbaaba
vvvvvvvvvvvvvvvvvvbbcabcaa cabcbcaa
ccbcb vvvvvvvvvvvvvvvvvvcbabc
cbccbbcc vvvvvvvvvvvvvvvvvvcbbcacab
vvvvvvvvvvvvvvvvvvcbcaaaac bcccbccb
vvvvvvvvvvvvvvvvvvcacabb bccbca
vvvvvvvvvvvvvvvvvvbacaaaca bcbacabc
bbba vvvvvvvvvvvvvvvvvvbaab
vvvvvvvvvvvvvvvvvvbacacaab cbcabcbb
vvvvvvvvvvvvvvvvvvccbba abbcc
vvvvvvvvvvvvvvvvvvacaa bbaa
vvvvvvvvvvvvvvvvvvbacbbb bcacbc
cc vvvvvvvvvvvvvvvvvvbc
bccacaca vvvvvvvvvvvvvvvvvvbbabbcab
vvvvvvvvvvvvvvvvvvaaa abb
cbcca vvvvvvvvvvvvvvvvvvacbba
vvvvvvvvvvvvvvvvvvaabbbaa acbaabb
vvvvvvvvvvvvvvvvvvabbca cbbac
cccca vvvvvvvvvvvvvvvvvvbcbab
vvvvvvvvvvvvvvvvvvcac acc
cc vvvvvvvvvvvvvvvvvvcc
vvvvvvvvvvvvvvvvvvcaa acb
vvvvvvvvvvvvvvvvvvbabc aacb
vvvvvvvvvvvvvvvvvvcbac bccb
aaccabac vvvvvvvvvvvvvvvvvvcbcbcbca
abbccacb vvvvvvvvvvvvvvvvvvbbbccacb
acbbaac vvvvvvvvvvvvvvvvvvaacbbcc
aacc vvvvvvvvvvvvvvvvvvaaac
abaaa vvvvvvvvvvvvvvvvvvbcacb
vvvvvvvvvvvvvvvvvvaaabbcc bbabacc
ccbca vvvvvvvvvvvvvvvvvvccaba
ac vvvvvvvvvvvvvvvvvvca
cbabbbc vvvvvvvvvvvvvvvvvvccacbca
cccaab vvvvvvvvvvvvvvvvvvabbacb
vvvvvvvvvvvvvvvvvvcbcabbc ccccaab
vvvvvvvvvvvvvvvvvvbaacb cccba
vvvvvvvvvvvvvvvvvvcacbba bacaca
vvvvvvvvvvvvvvvvvvbccbc aacba
bcaac vvvvvvvvvvvvvvvvvvcbaba
abacac vvvvvvvvvvvvvvvvvvbababa
bb vvvvvvvvvvvvvvvvvvac
cbb vvvvvvvvvvvvvvvvvvbbb
vvvvvvvvvvvvvvvvvvbaacabca bacacacb
vvvvvvvvvvvvvvvvvvbbaa babc
bc vvvvvvvvvvvvvvvvvvaa
bbabbacb vvvvvvvvvvvvvvvvvvacababba
ccb vvvvvvvvvvvvvvvvvvcbc
vvvvvvvvvvvvvvvvvvccb cba
bbb vvvvvvvvvvvvvvvvvvaba
ab vvvvvvvvvvvvvvvvvvaa
vvvvvvvvvvvvvvvvvvbaa aba
vvvvvvvvvvvvvvvvvvacccacb bacacaa
aaaaca vvvvvvvvvvvvvvvvvvbccacc
cacaa vvvvvvvvvvvvvvvvvvacaca
bacb vvvvvvvvvvvvvvvvvvabcb
vvvvvvvvvvvvvvvvvvccabbcb cacbacc
vvvvvvvvvvvvvvvvvvac bb
bcba vvvvvvvvvvvvvvvvvvbacb
cbbc vvvvvvvvvvvvvvvvvvcbac
acbbaab vvvvvvvvvvvvvvvvvvaaaabca
vvvvvvvvvvvvvvvvvvcac baa
abcbac vvvvvvvvvvvvvvvvvvbbcbcc
vvvvvvvvvvvvvvvvvvbbbcabbb bcccacba
vvvvvvvvvvvvvvvvvvabcbabcc aaaabbaa
vvvvvvvvvvvvvvvvvvcbabcc cbabba
cacbbca vvvvvvvvvvvvvvvvvvcbacbaa
vvvvvvvvvvvvvvvvvvcb ab
vvvvvvvvvvvvvvvvvvbcbacaa acabbbb
cbba vvvvvvvvvvvvvvvvvvbbbc
bcbabaa vvvvvvvvvvvvvvvvvvcabccba
