4 300
aca acaccab abrkadabrakalajamaaabbbaac cbcbcaca
accbbac abaabbc ccbccbbc abrkadabrakalajamaacacccb
cbc caaab ab abrkadabrakalajamaacc
abrkadabrakalajamabacacc bcccc abbaa bbcbbb
abrkadabrakalajamabcab abacbb aabc abbc
baa abrkadabrakalajamacbaabac ababbbb aa
baaacbcb bcaa abrkadabrakalajamacaaacccc abbcabba
bbbcc bacba abrkadabrakalajamaaabbc cababca
abrkadabrakalajamaacbba cbccb cbcaa ba
bbaac bcbaaaab bacaaa abrkadabrakalajamacbbacbaa
ababccab bccb ca abrkadabrakalajamacb
bbcaba abrkadabrakalajamaacaaa cacab cabaaba
acbaa ca abrkadabrakalajamaabbb cbcc
aaabacc aaaab abrkadabrakalajamabbacaca cccabcc
baa ccbacbca cbc abrkadabrakalajamaacb
cabccab caabcc abrkadabrakalajamacacbaa cbaac
aacaca bb caa abrkadabrakalajamaaba
abrkadabrakalajamabac bcabba cba aa
bbc caab abrkadabrakalajamabcc aacba
abb babca abrkadabrakalajamacaaca aac
abc abcab abrkadabrakalajamaabc bcaa
abrkadabrakalajamaaba bba baaacbb ccccc
ccbc ac bccaa abrkadabrakalajamabc
bbbcbba abrkadabrakalajamabbbccc baacaa cbbbcbba
aa cccb abrkadabrakalajamacb bb
abc ccb abrkadabrakalajamaaaab cbba
acaacb bbaccc aacbaac abrkadabrakalajamacacbcbb
abrkadabrakalajamaccbaaa ac ca aabacb
bbb ccbccb abbaaaa abrkadabrakalajamaababbb
baaa abrkadabrakalajamaaabb baa aca
abrkadabrakalajamaaaaa bbbc bcccbac cca
acbccb abrkadabrakalajamabcbbbcb bccca acbcbba
bacbbbc abrkadabrakalajamaccbccb acccca bababbac
cca abrkadabrakalajamacaa baa caba
ccaa ccaaabcc abrkadabrakalajamaaaac ca
babba acbbaabc bbac abrkadabrakalajamacbaac
cbacb acacbbc abrkadabrakalajamacacabca aaa
cacbaacc abrkadabrakalajamacacabcab accc bacccc
abrkadabrakalajamacbaba ccbcc bcabacb bcab
bbcbb abrkadabrakalajamaccbbb acbab cacbac
abrkadabrakalajamacbaaca ccaa aacbbc cbbb
bbba abrkadabrakalajamacbcbcca aacc acbcacb
bcbcba bacbaab abrkadabrakalajamababcbbca ccacbbcb
abcccaac cccabbaa bbcccbc abrkadabrakalajamaabcabcca
bcaa abrkadabrakalajamacccbb abccc bb
ccccaa abrkadabrakalajamaabaacb cbacab aa
cbbb aaa baaccbc abrkadabrakalajamacabcaaa
abrkadabrakalajamaacabca aabab acccbc aba
babbbccc abrkadabrakalajamabccbabcc caca aacabccb
abrkadabrakalajamabbccca cccbcb cbabaa bcaa
abrkadabrakalajamaaacccba ba bbcbbbb aac
abbbac ccbacaa abrkadabrakalajamaacabacc ccaba
ab abrkadabrakalajamacbb acb bacc
cbcc cbbab abrkadabrakalajamabbbc cbca
abrkadabrakalajamabc cbca ab ccb
aabc cab abrkadabrakalajamaabbcb bbbac
accab aa abrkadabrakalajamaca baba
caa cbaba abrkadabrakalajamaaaa acb
cca abrkadabrakalajamaccb acaabcbb bbcabac
abrkadabrakalajamabca aca ccc ccac
abcbabb bcbabbc caccbacb abrkadabrakalajamaaccabcc
abrkadabrakalajamacabbbbc bc cccccbb bbab
ccabaaa aabbaab abrkadabrakalajamacbccabc bcac
abrkadabrakalajamaacccab aba cca ccaabb
bb aaccbccc bbb abrkadabrakalajamaba
cba abbaab abrkadabrakalajamabbbcab cab
ccac bcb bcca abrkadabrakalajamaccaa
caccccb bcb cacbcc abrkadabrakalajamacca
ac cbacbc bbbc abrkadabrakalajamaab
