4 100000
zzzccacbbab bcbbbaba aaaacac caaabca
zzzacb bcc bacc cbcaba
ba zzzcc bbcbabcb ccacba
bbcbcab zzzbcc cab bbcaabb
ac aac acabaa zzzba
ba zzzacaaabc bbcacba bbcba
ac cbac zzzcacb caa
ccbb aab babba zzzbcbb
bcabaac ccb zzzbca bbc
ababbba bcccbbc zzzbbcbbaa cac
aaab bcacbcb zzzbabbcbb ca
zzzbcb cbbb ccb cbabc
zzzabac ca acbb caab
bbacaa zzzab ba cbcbcb
aa cbb acc zzzcb
acbabca acbcab cacc zzzccac
zzzbcabc cb ccbbb ccccca
cb zzzca cbacaaa ab
zzzccbbbbbc aac ccc aacaaccb
zzzbcca ba aacc cbca
cabac zzzbabbb cacbc baaa
zzzbbabab cccaaab aababac abbbac
abaab zzzaabcba bbbbcaa cbabab
zzzacbcbb ccccbba aabcac cabbaac
zzzaccc ccbc bbbb baca
abb zzzcbb ababc abababba
zzzbcabc cccab acbcb ab
zzzbbbbccc abbcc aaca abbbbab
baaab zzzacaaccac abacbabb cabcbc
bc caa zzzcb cababb
cbcabaac zzzccbaaabb bcbcacba cbcba
cbbcb ca bccbc zzzaccba
zzzbaa bba bbbabbcc cbacb
cbaac ca zzzabcbb aacaa
cb ccbaba cb zzzaaaaca
cacc zzzabcb ab abc
cc aba babc zzzcacc
zzzcccabcb ba aaaaaa bcbbcaa
ab aacbaca cc zzzba
abaa bacbaa zzzcabaca abacbc
cabaccb ccabcbb cbab zzzbcaacab
zzzaab bcaa cab aa
zzzabc cbbacba bbba caa
cbc ac bbcbc zzzbbcca
zzzababbc bbcbcc ab cb
abcb aaaabcaa zzzbcacacaa acbcacb
zzzcbcbbbac abcaba acabbcaa abbacab
ccbaba baacbba zzzbccbacc abacab
cbabaabb cabaab zzzbb aa
cbcaba zzzabab cacbbbb bccc
cababc cbccbaba babacb zzzcbaaba
aaab ccbccb zzzcbacba bacaa
zzzca ccba cacbcc aa
bccccca cacaacac zzzacbcaaac cbb
abaacc ccbb bb zzzcabb
cbacbcc zzzccacb caba acbbb
zzzbaaaaaca caccabab ccabbac bbcbabcc
cccacc zzzcbaaab cacbaa ab
bca cac cb zzzca
zzzcbacacb cccacab aaaba bcccbaa
ab zzzaac cab cbacbc
cc bbcbbac zzzaabacaa babca
zzzbbbc cbcccbcb aacacbb cbac
abbaa aabcabc zzzcbaba bbcbab
caaac zzzbcacb ccabab bbbcaa
aababacc zzzcbb cbabab ccc
accaca zzzbcbbccca ccccca cbccbcac
abacb acbbcac zzzcbbcb bcaba
zzzac bbacbc cc baab
bbbc zzzbccbac cbbbbc caaa
cc abcabbaa zzzac aacabbc
ccab zzzcacb cc cbca
accb cabb zzzcbab abbaaccb
zzzbbb abaa cca cb
ccbaabb bacaa zzzbcb bab
cbcbbc baacccbc zzzbcabcacc cc
bbbabc cc bcb zzzcc
cbcb aaaabb aaabcbcc zzzaabcabab
cabbcbcc aac zzzacbcac acaccc
bb ccaabbc cbc zzzbba
zzzbaca bc ccbb bb
bbbacccb caabaaa zzzaaacbaaa cccbb
acaaa bbcaccb bcaa zzzaaaab
zzzacc bcbbaac aaa acacba
cbbacc babbbcc abc zzzabaabac
caaabca babaa zzzbccbc aaabaab
zzzabababa babcca acbbbacc aabbabc
zzzba bc ac bcaabccc
zzzbccac ccbcbcb ba bbbcb
zzzca bb ac cccba
zzzcacacc bbabc cbbabca ccbabc
cc baacc cb zzzaabbc
zzzcca ccabcaa aca bcaaa
zzzcca aabab cbc ccbaa
cac ac caacbaa zzzabbbacb
bc cbcbcbac ccbb zzzbbcc
cbbaaca caababa zzzcbbb caac
acbcaaba aacbba zzzbcaabc bacbc
baabacb bccccb cbcba zzzabccca
aacb ab zzzca aba
zzzcbb aba ccaacc bb
aabaa aaacbca acbb zzzcaaab
zzzbcaabbb aaccab cba ababccb
ba babaca ccacbaaa zzzaa
